smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K04923131	BRD-K04923131-001-10-5	LSM-42780	LSM-1031
BRD-K41895714	BRD-K41895714-001-02-2	LSM-42784	LSM-1054
BRD-K41895714	BRD-K41895714-001-03-0	LSM-42784	LSM-1054
BRD-K78373679	BRD-K78373679-001-01-1	LSM-42788	LSM-1104
BRD-K11528507	BRD-K11528507-001-05-9	LSM-42789	LSM-1108
BRD-K02965346	BRD-K02965346-001-01-8	LSM-42792	LSM-1119
BRD-A58767537	BRD-A58767537-001-01-2	LSM-42794	LSM-1133
BRD-K49075727	BRD-K49075727-001-03-6	LSM-42795	LSM-1152
BRD-K08799216	BRD-K08799216-001-01-2	LSM-42796	LSM-1160
BRD-K06750613	BRD-K06750613-001-01-6	LSM-42798	LSM-1173
BRD-M64432851	BRD-M64432851-001-01-9	LSM-42800	LSM-1176
BRD-K67578145	BRD-K67578145-001-01-4	LSM-42801	LSM-1182
BRD-K67578145	BRD-K67578145-001-04-8	LSM-42801	LSM-1182
BRD-K70511574	BRD-K70511574-001-02-8	LSM-42802	LSM-1192
BRD-K70511574	BRD-K70511574-001-01-0	LSM-42802	LSM-1192
BRD-K91701654	BRD-K91701654-001-01-5	LSM-42807	LSM-1220
BRD-A31107743	BRD-A31107743-001-01-3	LSM-42812	LSM-1349
BRD-K28178212	BRD-K28178212-003-01-5	LSM-42847	LSM-2066
BRD-K76723084	BRD-K76723084-001-18-2	LSM-42855	LSM-2135
BRD-K76723084	BRD-K76723084-001-19-0	LSM-42855	LSM-2135
BRD-K76723084	BRD-K76723084-001-15-8	LSM-42855	LSM-2135
BRD-K71879491	BRD-K71879491-001-22-6	LSM-42854	LSM-2135
BRD-K71879491	BRD-K71879491-001-29-1	LSM-42854	LSM-2135
BRD-K71879491	BRD-K71879491-001-30-9	LSM-42854	LSM-2135
BRD-K35483542	BRD-K35483542-001-03-1	LSM-42856	LSM-2135
BRD-K35483542	BRD-K35483542-001-04-9	LSM-42856	LSM-2135
