smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K78556523	BRD-K78556523-001-01-9	LSM-43427	LSM-7874
BRD-K78812164	BRD-K78812164-001-01-0	LSM-43428	LSM-7878
BRD-K79145797	BRD-K79145797-001-01-9	LSM-43429	LSM-7887
BRD-K80866161	BRD-K80866161-001-01-5	LSM-43430	LSM-7904
BRD-K82903423	BRD-K82903423-001-01-8	LSM-43431	LSM-7915
BRD-K83712984	BRD-K83712984-001-01-3	LSM-43432	LSM-7926
BRD-K86482074	BRD-K86482074-001-01-1	LSM-43433	LSM-7954
BRD-K87990527	BRD-K87990527-001-01-5	LSM-43434	LSM-7979
BRD-K91684468	BRD-K91684468-001-01-9	LSM-43435	LSM-8010
BRD-K93165404	BRD-K93165404-001-01-4	LSM-43436	LSM-8039
BRD-K93368389	BRD-K93368389-001-01-3	LSM-43437	LSM-8040
BRD-K95688283	BRD-K95688283-001-01-9	LSM-43438	LSM-8073
BRD-K97615779	BRD-K97615779-001-01-1	LSM-43439	LSM-8083
BRD-K98216700	BRD-K98216700-001-01-1	LSM-43440	LSM-8088
BRD-K95096346	BRD-K95096346-001-01-0	LSM-43441	LSM-8412
BRD-K00449983	BRD-K00449983-001-01-3	LSM-43442	LSM-8457
BRD-K00541818	BRD-K00541818-001-01-8	LSM-43443	LSM-8465
BRD-K02544880	BRD-K02544880-001-01-3	LSM-43444	LSM-8595
BRD-K05961870	BRD-K05961870-001-01-8	LSM-43445	LSM-8776
BRD-K06718821	BRD-K06718821-001-01-1	LSM-43446	LSM-8823
BRD-K07609594	BRD-K07609594-001-01-6	LSM-43447	LSM-8885
BRD-K11144279	BRD-K11144279-001-01-0	LSM-43448	LSM-9109
BRD-K11415638	BRD-K11415638-001-01-0	LSM-43449	LSM-9123
BRD-K13245569	BRD-K13245569-001-01-2	LSM-43450	LSM-9223
BRD-K14023438	BRD-K14023438-001-01-1	LSM-43451	LSM-9275
BRD-K14437503	BRD-K14437503-001-01-3	LSM-43452	LSM-9303
BRD-K17745445	BRD-K17745445-001-02-5	LSM-43453	LSM-9496
BRD-K20191348	BRD-K20191348-001-01-7	LSM-43454	LSM-9659
BRD-K20555710	BRD-K20555710-001-01-3	LSM-43455	LSM-9681
BRD-K22695599	BRD-K22695599-001-01-1	LSM-43456	LSM-9808
BRD-K22932079	BRD-K22932079-001-01-7	LSM-43457	LSM-9820
BRD-K27005217	BRD-K27005217-001-01-0	LSM-43458	LSM-10065
BRD-K27433204	BRD-K27433204-001-01-9	LSM-43459	LSM-10083
BRD-K28305693	BRD-K28305693-001-01-6	LSM-43460	LSM-10142
BRD-K28568387	BRD-K28568387-001-01-0	LSM-43461	LSM-10158
BRD-K28884887	BRD-K28884887-001-01-6	LSM-43462	LSM-10184
BRD-K29720768	BRD-K29720768-001-01-5	LSM-43463	LSM-10230
BRD-K30563708	BRD-K30563708-001-01-9	LSM-43464	LSM-10267
BRD-K31290914	BRD-K31290914-001-01-8	LSM-43465	LSM-10322
BRD-K32083350	BRD-K32083350-001-01-7	LSM-43466	LSM-10374
BRD-K33013391	BRD-K33013391-001-01-4	LSM-43467	LSM-10435
BRD-K36232701	BRD-K36232701-001-01-2	LSM-43468	LSM-10617
BRD-K37461197	BRD-K37461197-001-01-7	LSM-43469	LSM-10693
BRD-K38187891	BRD-K38187891-001-01-6	LSM-43470	LSM-10741
BRD-K39376673	BRD-K39376673-001-04-2	LSM-43471	LSM-10817
BRD-K39376673	BRD-K39376673-001-02-6	LSM-43471	LSM-10817
BRD-K41344641	BRD-K41344641-001-01-1	LSM-43472	LSM-10940
BRD-K41547297	BRD-K41547297-001-02-4	LSM-43473	LSM-10952
BRD-K42886157	BRD-K42886157-001-01-6	LSM-43474	LSM-11032
BRD-K45033698	BRD-K45033698-001-01-8	LSM-43475	LSM-11168
BRD-K45371861	BRD-K45371861-001-01-3	LSM-43476	LSM-11192
BRD-K48374441	BRD-K48374441-001-01-3	LSM-43477	LSM-11372
BRD-K50388099	BRD-K50388099-001-01-3	LSM-43478	LSM-11498
BRD-K55749829	BRD-K55749829-001-01-8	LSM-43479	LSM-11806
BRD-K57206606	BRD-K57206606-001-01-6	LSM-43480	LSM-11893
BRD-K57393707	BRD-K57393707-001-01-0	LSM-43481	LSM-11903
BRD-K57579117	BRD-K57579117-001-01-8	LSM-43482	LSM-11913
BRD-K58307544	BRD-K58307544-001-02-4	LSM-43483	LSM-11947
BRD-K59455917	BRD-K59455917-001-01-1	LSM-43484	LSM-12023
BRD-K60703528	BRD-K60703528-001-01-2	LSM-43485	LSM-12098
BRD-K62430643	BRD-K62430643-001-01-0	LSM-43486	LSM-12220
BRD-K63724542	BRD-K63724542-001-01-7	LSM-43487	LSM-12309
BRD-K66064682	BRD-K66064682-001-01-5	LSM-43488	LSM-12459
BRD-K66642908	BRD-K66642908-001-01-6	LSM-43489	LSM-12487
BRD-K67514995	BRD-K67514995-001-02-8	LSM-43490	LSM-12538
BRD-K69425327	BRD-K69425327-001-01-6	LSM-43491	LSM-12661
BRD-K71401720	BRD-K71401720-001-01-6	LSM-43492	LSM-12796
BRD-K73104592	BRD-K73104592-001-01-9	LSM-43493	LSM-12904
BRD-K74832096	BRD-K74832096-001-01-5	LSM-43494	LSM-13016
BRD-K78247419	BRD-K78247419-001-01-2	LSM-43495	LSM-13215
BRD-K78845122	BRD-K78845122-001-01-1	LSM-43496	LSM-13242
BRD-K83183082	BRD-K83183082-001-01-8	LSM-43497	LSM-13513
BRD-K85656047	BRD-K85656047-001-01-5	LSM-43498	LSM-13668
BRD-K88856990	BRD-K88856990-001-01-5	LSM-43499	LSM-13889
BRD-K93123387	BRD-K93123387-001-01-4	LSM-43500	LSM-14141
BRD-K94067270	BRD-K94067270-001-01-2	LSM-43501	LSM-14194
BRD-K95138368	BRD-K95138368-001-01-3	LSM-43502	LSM-14259
BRD-K96098018	BRD-K96098018-001-02-0	LSM-43503	LSM-14326
BRD-K97955841	BRD-K97955841-001-01-5	LSM-43504	LSM-14448
BRD-K98641517	BRD-K98641517-001-01-3	LSM-43505	LSM-14484
BRD-K99795671	BRD-K99795671-001-02-6	LSM-43506	LSM-14561
BRD-M00964333	BRD-M00964333-001-01-6	LSM-43507	LSM-14577
BRD-M02207845	BRD-M02207845-001-01-9	LSM-43508	LSM-14578
BRD-M03805540	BRD-M03805540-001-01-7	LSM-43509	LSM-14579
BRD-M03817478	BRD-M03817478-001-01-8	LSM-43510	LSM-14580
BRD-M04224464	BRD-M04224464-001-01-2	LSM-43511	LSM-14581
BRD-M08461891	BRD-M08461891-001-01-9	LSM-43512	LSM-14582
BRD-M09121311	BRD-M09121311-001-01-0	LSM-43513	LSM-14583
BRD-M10589662	BRD-M10589662-001-01-0	LSM-43514	LSM-14584
BRD-M11500571	BRD-M11500571-001-01-6	LSM-43515	LSM-14585
BRD-M12187987	BRD-M12187987-001-01-9	LSM-43516	LSM-14586
BRD-M12376605	BRD-M12376605-001-01-0	LSM-43517	LSM-14587
BRD-M17304464	BRD-M17304464-001-01-7	LSM-43518	LSM-14588
BRD-M18093923	BRD-M18093923-001-01-0	LSM-43519	LSM-14589
BRD-M18345234	BRD-M18345234-001-01-8	LSM-43520	LSM-14590
BRD-M19115046	BRD-M19115046-001-01-2	LSM-43521	LSM-14591
BRD-M20534100	BRD-M20534100-001-01-4	LSM-43522	LSM-14592
BRD-M22248829	BRD-M22248829-001-01-9	LSM-43523	LSM-14593
BRD-M22422412	BRD-M22422412-001-01-3	LSM-43524	LSM-14594
BRD-M22555785	BRD-M22555785-001-01-9	LSM-43525	LSM-14595
BRD-M23605671	BRD-M23605671-001-01-8	LSM-43526	LSM-14596
BRD-M23876883	BRD-M23876883-001-01-9	LSM-43527	LSM-14597
BRD-M24732042	BRD-M24732042-001-01-1	LSM-43528	LSM-14598
BRD-M28080892	BRD-M28080892-001-01-2	LSM-43529	LSM-14599
BRD-M29192968	BRD-M29192968-001-01-3	LSM-43530	LSM-14600
BRD-M30664582	BRD-M30664582-001-01-4	LSM-43531	LSM-14601
BRD-M30758753	BRD-M30758753-001-01-7	LSM-43532	LSM-14602
BRD-M31016039	BRD-M31016039-001-01-5	LSM-43533	LSM-14603
BRD-M31111440	BRD-M31111440-001-01-7	LSM-43534	LSM-14604
BRD-M31871110	BRD-M31871110-001-01-5	LSM-43535	LSM-14605
BRD-M32495507	BRD-M32495507-001-01-3	LSM-43536	LSM-14606
BRD-M32778103	BRD-M32778103-001-01-0	LSM-43537	LSM-14607
BRD-M33077182	BRD-M33077182-001-01-0	LSM-43538	LSM-14608
BRD-M36167927	BRD-M36167927-001-01-6	LSM-43539	LSM-14609
BRD-M39727370	BRD-M39727370-001-01-6	LSM-43540	LSM-14610
BRD-M39787390	BRD-M39787390-001-01-6	LSM-43541	LSM-14611
BRD-M40384033	BRD-M40384033-001-01-2	LSM-43542	LSM-14612
BRD-M40773246	BRD-M40773246-001-01-9	LSM-43543	LSM-14613
BRD-M41154708	BRD-M41154708-001-01-2	LSM-43544	LSM-14614
BRD-M41610223	BRD-M41610223-001-01-9	LSM-43545	LSM-14615
BRD-M44900776	BRD-M44900776-001-01-2	LSM-43546	LSM-14616
BRD-M45350951	BRD-M45350951-001-01-6	LSM-43547	LSM-14617
BRD-M45544666	BRD-M45544666-001-01-0	LSM-43548	LSM-14618
BRD-M45755366	BRD-M45755366-001-01-5	LSM-43549	LSM-14619
BRD-M49151292	BRD-M49151292-001-01-2	LSM-43550	LSM-14620
BRD-M51208417	BRD-M51208417-001-01-5	LSM-43551	LSM-14621
BRD-M51239075	BRD-M51239075-001-01-3	LSM-43552	LSM-14622
BRD-M52804417	BRD-M52804417-001-01-0	LSM-43553	LSM-14623
BRD-M53302603	BRD-M53302603-001-01-8	LSM-43554	LSM-14624
BRD-M53346459	BRD-M53346459-001-01-0	LSM-43555	LSM-14625
BRD-M54407015	BRD-M54407015-001-01-6	LSM-43556	LSM-14626
BRD-M54814689	BRD-M54814689-001-01-8	LSM-43557	LSM-14627
BRD-M55020616	BRD-M55020616-001-01-9	LSM-43558	LSM-14628
BRD-M56188090	BRD-M56188090-001-01-8	LSM-43559	LSM-14629
BRD-M58317392	BRD-M58317392-001-01-6	LSM-43560	LSM-14630
BRD-M58692868	BRD-M58692868-001-01-7	LSM-43561	LSM-14631
BRD-M59406954	BRD-M59406954-001-01-6	LSM-43562	LSM-14632
BRD-M60886831	BRD-M60886831-001-01-5	LSM-43563	LSM-14633
BRD-M63389385	BRD-M63389385-001-01-7	LSM-43564	LSM-14634
BRD-M64817521	BRD-M64817521-001-01-1	LSM-43565	LSM-14635
BRD-M65187017	BRD-M65187017-001-01-9	LSM-43566	LSM-14636
BRD-M66254575	BRD-M66254575-001-01-0	LSM-43567	LSM-14637
BRD-M66672790	BRD-M66672790-001-01-2	LSM-43568	LSM-14638
BRD-M69191681	BRD-M69191681-001-01-2	LSM-43569	LSM-14639
BRD-M69929484	BRD-M69929484-001-01-4	LSM-43570	LSM-14640
BRD-M70861773	BRD-M70861773-001-01-6	LSM-43571	LSM-14641
BRD-M72906282	BRD-M72906282-001-01-1	LSM-43572	LSM-14642
BRD-M73564418	BRD-M73564418-001-01-4	LSM-43573	LSM-14643
BRD-M76499661	BRD-M76499661-001-01-4	LSM-43574	LSM-14644
BRD-M76969896	BRD-M76969896-001-01-3	LSM-43575	LSM-14645
BRD-M77258496	BRD-M77258496-001-01-4	LSM-43576	LSM-14646
BRD-M77293869	BRD-M77293869-001-01-0	LSM-43577	LSM-14647
BRD-M77861050	BRD-M77861050-001-01-3	LSM-43578	LSM-14648
BRD-M78319284	BRD-M78319284-001-01-9	LSM-43579	LSM-14649
BRD-M79326715	BRD-M79326715-001-01-2	LSM-43580	LSM-14650
BRD-M80240720	BRD-M80240720-001-01-5	LSM-43581	LSM-14651
BRD-M82627054	BRD-M82627054-001-01-7	LSM-43582	LSM-14652
BRD-M85886474	BRD-M85886474-001-01-8	LSM-43583	LSM-14653
BRD-M85914958	BRD-M85914958-001-01-3	LSM-43584	LSM-14654
BRD-M87776818	BRD-M87776818-001-01-4	LSM-43585	LSM-14655
BRD-M88044810	BRD-M88044810-001-01-4	LSM-43586	LSM-14656
BRD-M88256629	BRD-M88256629-001-01-5	LSM-43587	LSM-14657
BRD-M88324697	BRD-M88324697-001-01-8	LSM-43588	LSM-14658
BRD-M88429329	BRD-M88429329-001-01-1	LSM-43589	LSM-14659
BRD-M90541854	BRD-M90541854-001-01-2	LSM-43590	LSM-14660
BRD-M91342002	BRD-M91342002-001-01-5	LSM-43591	LSM-14661
BRD-M91803535	BRD-M91803535-001-01-2	LSM-43592	LSM-14662
BRD-M91876180	BRD-M91876180-001-01-6	LSM-43593	LSM-14663
BRD-M92802283	BRD-M92802283-001-01-7	LSM-43594	LSM-14664
BRD-M94053246	BRD-M94053246-001-01-1	LSM-43595	LSM-14665
BRD-M94242351	BRD-M94242351-001-01-1	LSM-43596	LSM-14666
BRD-M94512770	BRD-M94512770-001-01-0	LSM-43597	LSM-14667
BRD-M95331451	BRD-M95331451-001-01-0	LSM-43598	LSM-14668
BRD-M95429326	BRD-M95429326-001-01-5	LSM-43599	LSM-14669
BRD-M95763088	BRD-M95763088-001-01-5	LSM-43600	LSM-14670
BRD-M97057852	BRD-M97057852-001-01-4	LSM-43601	LSM-14671
BRD-M97109212	BRD-M97109212-001-01-8	LSM-43602	LSM-14672
BRD-M97925630	BRD-M97925630-001-01-1	LSM-43603	LSM-14673
BRD-M98484762	BRD-M98484762-001-01-8	LSM-43604	LSM-14674
BRD-K00248354	BRD-K00248354-001-01-0	LSM-43605	LSM-15094
BRD-K02654447	BRD-K02654447-001-01-6	LSM-43606	LSM-15100
BRD-K35095050	BRD-K35095050-001-01-1	LSM-43607	LSM-15135
BRD-K64618192	BRD-K64618192-001-01-3	LSM-43608	LSM-15153
BRD-K81654062	BRD-K81654062-001-01-4	LSM-43609	LSM-15164
BRD-K81732150	BRD-K81732150-001-01-1	LSM-43610	LSM-15165
BRD-K83155387	BRD-K83155387-001-01-8	LSM-43611	LSM-15166
BRD-K92666980	BRD-K92666980-001-01-4	LSM-43612	LSM-15170
BRD-A79768653	BRD-A79768653-001-01-3	LSM-42783	LSM-1052
BRD-A79768653	BRD-A79768653-001-03-9	LSM-42783	LSM-1052
BRD-K11528507	BRD-K11528507-001-04-2	LSM-42789	LSM-1108
BRD-A19037878	BRD-A19037878-001-01-5	LSM-42814	LSM-1369
BRD-A19500257	BRD-A19500257-001-01-3	LSM-42815	LSM-1373
BRD-A26962727	BRD-A26962727-001-01-8	LSM-42816	LSM-1422
BRD-A69815203	BRD-A69815203-001-02-7	LSM-42829	LSM-1703
BRD-A75455249	BRD-A75455249-001-02-0	LSM-42834	LSM-1789
BRD-A82913781	BRD-A82913781-001-01-5	LSM-42836	LSM-1840
BRD-K00256256	BRD-K00256256-001-02-0	LSM-42838	LSM-1977
BRD-K01578344	BRD-K01578344-001-06-1	LSM-42840	LSM-2004
BRD-K01578344	BRD-K01578344-001-05-3	LSM-42840	LSM-2004
BRD-K29950728	BRD-K29950728-048-02-6	LSM-42849	LSM-2072
BRD-K06765193	BRD-K06765193-001-07-9	LSM-42853	LSM-2131
BRD-K76723084	BRD-K76723084-001-05-9	LSM-42855	LSM-2135
BRD-K71879491	BRD-K71879491-001-20-0	LSM-42854	LSM-2135
BRD-K71879491	BRD-K71879491-001-17-6	LSM-42854	LSM-2135
BRD-K08973992	BRD-K08973992-001-01-3	LSM-42867	LSM-2181
BRD-K09191212	BRD-K09191212-001-01-5	LSM-42868	LSM-2185
BRD-K11742128	BRD-K11742128-003-04-4	LSM-42877	LSM-2240
BRD-K29582677	BRD-K29582677-001-02-7	LSM-42878	LSM-2250
BRD-K47105409	BRD-K47105409-001-05-3	LSM-42880	LSM-2255
BRD-K15025317	BRD-K15025317-001-04-5	LSM-42889	LSM-2326
BRD-K17894950	BRD-K17894950-001-04-4	LSM-42899	LSM-2390
BRD-K21853356	BRD-K21853356-001-04-4	LSM-42910	LSM-2486
BRD-K11667893	BRD-K11667893-001-05-7	LSM-42911	LSM-2506
BRD-K11667893	BRD-K11667893-001-06-5	LSM-42911	LSM-2506
BRD-K23980805	BRD-K23980805-019-02-6	LSM-42913	LSM-2522
BRD-K24132293	BRD-K24132293-001-02-0	LSM-42914	LSM-2527
BRD-K80738081	BRD-K80738081-001-06-2	LSM-42917	LSM-2557
BRD-K27737647	BRD-K27737647-001-03-4	LSM-42924	LSM-2608
BRD-K89085489	BRD-K89085489-001-02-6	LSM-42925	LSM-2616
BRD-K63750851	BRD-K63750851-001-03-3	LSM-42933	LSM-2681
BRD-K32821942	BRD-K32821942-001-04-9	LSM-42936	LSM-2713
BRD-K33204703	BRD-K33204703-001-04-6	LSM-42938	LSM-2725
BRD-K38424085	BRD-K38424085-001-05-0	LSM-42943	LSM-2756
BRD-K38424085	BRD-K38424085-001-06-8	LSM-42943	LSM-2756
BRD-K86966177	BRD-K86966177-001-07-6	LSM-42950	LSM-2836
BRD-K86966177	BRD-K86966177-001-08-4	LSM-42950	LSM-2836
BRD-K37940862	BRD-K37940862-004-02-6	LSM-42951	LSM-2841
BRD-K40758391	BRD-K40758391-001-05-6	LSM-42955	LSM-2904
BRD-K40758391	BRD-K40758391-001-03-1	LSM-42955	LSM-2904
BRD-K41707108	BRD-K41707108-001-02-3	LSM-42957	LSM-2927
BRD-K93754473	BRD-K93754473-001-02-9	LSM-42959	LSM-2966
BRD-K45330754	BRD-K45330754-001-04-3	LSM-42960	LSM-3001
BRD-K49061529	BRD-K49061529-001-05-1	LSM-42968	LSM-3077
BRD-K49403449	BRD-K49403449-001-04-5	LSM-42969	LSM-3084
BRD-K49403449	BRD-K49403449-001-02-9	LSM-42969	LSM-3084
BRD-K60184833	BRD-K60184833-001-02-3	LSM-42972	LSM-3130
BRD-K18739469	BRD-K18739469-001-01-0	LSM-42982	LSM-3181
BRD-K02715134	BRD-K02715134-001-08-8	LSM-42983	LSM-3200
BRD-K02715134	BRD-K02715134-001-07-0	LSM-42983	LSM-3200
BRD-K57179821	BRD-K57179821-001-04-8	LSM-42989	LSM-3274
BRD-K59058766	BRD-K59058766-003-03-7	LSM-42990	LSM-3310
BRD-K59522102	BRD-K59522102-001-04-7	LSM-42991	LSM-3322
BRD-K65955264	BRD-K65955264-005-02-0	LSM-43001	LSM-3469
BRD-K68202742	BRD-K68202742-001-05-8	LSM-43005	LSM-3524
BRD-K17628612	BRD-K17628612-001-01-2	LSM-43019	LSM-3682
BRD-K53856942	BRD-K53856942-001-05-6	LSM-43023	LSM-3724
BRD-K79092138	BRD-K79092138-001-04-5	LSM-43026	LSM-3779
BRD-K81272440	BRD-K81272440-001-02-6	LSM-43029	LSM-3823
BRD-K96188950	BRD-K96188950-001-04-5	LSM-43033	LSM-3894
BRD-K86682249	BRD-K86682249-001-05-7	LSM-43036	LSM-3935
BRD-K75074041	BRD-K75074041-001-05-0	LSM-43040	LSM-4019
BRD-K75074041	BRD-K75074041-001-06-8	LSM-43040	LSM-4019
BRD-K95309561	BRD-K95309561-001-04-9	LSM-43043	LSM-4142
BRD-A61304759	BRD-A61304759-001-01-0	LSM-43056	LSM-4259
BRD-K05396879	BRD-K05396879-001-03-4	LSM-43081	LSM-4516
BRD-K07572174	BRD-K07572174-001-02-2	LSM-43083	LSM-4521
BRD-K33583600	BRD-K33583600-001-03-9	LSM-43093	LSM-4599
BRD-K38340366	BRD-K38340366-001-10-8	LSM-43094	LSM-4613
BRD-A67514145	BRD-A67514145-003-03-3	LSM-43145	LSM-5034
BRD-K15766189	BRD-K15766189-001-02-3	LSM-43163	LSM-5216
BRD-K62607865	BRD-K62607865-001-03-0	LSM-43171	LSM-5301
BRD-K17743125	BRD-K17743125-001-01-9	LSM-43181	LSM-5351
BRD-K68188368	BRD-K68188368-001-03-7	LSM-43185	LSM-5405
BRD-K38756014	BRD-K38756014-001-02-8	LSM-43200	LSM-5511
BRD-K03602135	BRD-K03602135-236-02-1	LSM-43201	LSM-5520
BRD-K62240499	BRD-K62240499-001-02-6	LSM-43203	LSM-5567
BRD-K47943470	BRD-K47943470-001-02-8	LSM-43207	LSM-5591
BRD-K52075040	BRD-K52075040-001-02-2	LSM-43210	LSM-5629
BRD-K20672254	BRD-K20672254-046-02-1	LSM-43219	LSM-5721
BRD-K02733959	BRD-K02733959-236-02-8	LSM-43220	LSM-5725
BRD-K75181824	BRD-K75181824-001-02-3	LSM-43232	LSM-5828
BRD-K78364995	BRD-K78364995-236-03-5	LSM-43233	LSM-5834
BRD-K79437791	BRD-K79437791-001-02-4	LSM-43236	LSM-5856
BRD-K36267058	BRD-K36267058-001-08-2	LSM-43268	LSM-6176
BRD-A78085235	BRD-A78085235-236-02-0	LSM-43308	LSM-6487
BRD-K76927775	BRD-K76927775-001-04-3	LSM-43315	LSM-6522
BRD-K11756522	BRD-K11756522-001-03-2	LSM-43317	LSM-6543
BRD-K98824517	BRD-K98824517-001-11-4	LSM-43337	LSM-6696
BRD-K17850764	BRD-K17850764-236-03-6	LSM-43613	LSM-15182
BRD-A76746748	BRD-A76746748-236-02-9	LSM-43614	LSM-15185
BRD-K36314834	BRD-K36314834-004-06-1	LSM-43615	LSM-15233
BRD-K42796363	BRD-K42796363-003-06-2	LSM-43616	LSM-15286
BRD-K56824917	BRD-K56824917-003-04-1	LSM-43617	LSM-15290
BRD-K95035089	BRD-K95035089-003-06-4	LSM-43618	LSM-15308
BRD-K28997626	BRD-K28997626-003-05-9	LSM-43619	LSM-15461
BRD-K78651469	BRD-K78651469-003-07-7	LSM-43620	LSM-15465
BRD-K69812950	BRD-K69812950-003-05-6	LSM-43621	LSM-15466
BRD-K69606559	BRD-K69606559-005-05-2	LSM-43622	LSM-15498
BRD-K17042159	BRD-K17042159-005-05-7	LSM-43623	LSM-15504
BRD-K01667746	BRD-K01667746-005-05-9	LSM-43624	LSM-15510
BRD-K76353913	BRD-K76353913-005-05-3	LSM-43625	LSM-15513
BRD-A62750882	BRD-A62750882-034-11-3	LSM-43626	LSM-15553
BRD-A01863324	BRD-A01863324-034-05-6	LSM-43627	LSM-15572
BRD-K88948585	BRD-K88948585-034-05-3	LSM-43628	LSM-15589
BRD-A62428732	BRD-A62428732-096-02-6	LSM-5103	LSM-15602
BRD-K55766360	BRD-K55766360-009-11-9	LSM-43629	LSM-15603
BRD-K23414129	BRD-K23414129-001-07-2	LSM-43630	LSM-16246
BRD-K14096728	BRD-K14096728-001-05-7	LSM-43631	LSM-16247
BRD-K95191397	BRD-K95191397-001-06-6	LSM-43632	LSM-16277
BRD-K21308266	BRD-K21308266-001-05-5	LSM-43633	LSM-16287
BRD-K45988237	BRD-K45988237-001-08-6	LSM-43634	LSM-16302
BRD-K82427190	BRD-K82427190-001-05-0	LSM-43635	LSM-16314
BRD-K68321212	BRD-K68321212-001-05-7	LSM-43636	LSM-16316
BRD-K16703109	BRD-K16703109-001-05-5	LSM-43637	LSM-16325
BRD-K49134164	BRD-K49134164-001-05-6	LSM-43638	LSM-16327
BRD-K47441643	BRD-K47441643-001-06-6	LSM-43639	LSM-16347
BRD-K41310524	BRD-K41310524-001-05-5	LSM-43640	LSM-16434
BRD-A39920162	BRD-A39920162-001-06-2	LSM-43641	LSM-16450
BRD-K58629399	BRD-K58629399-001-05-0	LSM-43642	LSM-16485
BRD-K83423621	BRD-K83423621-001-05-7	LSM-43643	LSM-16486
BRD-K66520473	BRD-K66520473-001-05-0	LSM-43644	LSM-16499
BRD-K64672158	BRD-K64672158-001-05-3	LSM-43645	LSM-16509
BRD-K71327258	BRD-K71327258-001-05-4	LSM-43646	LSM-16536
BRD-K16877843	BRD-K16877843-001-05-8	LSM-43647	LSM-16545
BRD-K69636039	BRD-K69636039-001-05-8	LSM-43648	LSM-16564
BRD-A28577961	BRD-A28577961-001-05-8	LSM-43649	LSM-16588
BRD-K84916360	BRD-K84916360-001-05-4	LSM-43650	LSM-16608
BRD-K31713127	BRD-K31713127-001-05-3	LSM-43651	LSM-16618
BRD-K16095967	BRD-K16095967-001-05-7	LSM-43652	LSM-16643
BRD-K75257693	BRD-K75257693-001-06-0	LSM-43653	LSM-16645
BRD-K89568673	BRD-K89568673-001-06-8	LSM-43654	LSM-16646
BRD-K88620924	BRD-K88620924-001-05-7	LSM-43655	LSM-16667
BRD-K47201960	BRD-K47201960-001-05-1	LSM-43656	LSM-16675
BRD-K89800944	BRD-K89800944-001-05-0	LSM-43657	LSM-16683
BRD-K06922312	BRD-K06922312-001-05-6	LSM-43658	LSM-16705
BRD-K94986477	BRD-K94986477-001-05-5	LSM-43659	LSM-16735
BRD-K84041582	BRD-K84041582-001-05-3	LSM-43660	LSM-16748
BRD-K49217806	BRD-K49217806-001-05-3	LSM-43661	LSM-16754
BRD-K88313953	BRD-K88313953-001-06-1	LSM-43662	LSM-16770
BRD-K26720373	BRD-K26720373-001-06-4	LSM-43663	LSM-16776
BRD-K85711978	BRD-K85711978-001-06-0	LSM-43664	LSM-16778
BRD-K47843573	BRD-K47843573-001-05-9	LSM-43665	LSM-16780
BRD-K43475294	BRD-K43475294-001-06-0	LSM-43666	LSM-16782
BRD-K91220916	BRD-K91220916-001-05-1	LSM-43667	LSM-16805
BRD-K16323978	BRD-K16323978-001-05-0	LSM-43668	LSM-16834
BRD-K87608205	BRD-K87608205-001-05-3	LSM-43669	LSM-16842
BRD-K25864844	BRD-K25864844-001-06-2	LSM-43670	LSM-16849
BRD-K00882705	BRD-K00882705-001-06-1	LSM-43671	LSM-16850
BRD-K47642689	BRD-K47642689-001-05-6	LSM-43672	LSM-16871
BRD-K26541322	BRD-K26541322-001-06-6	LSM-43673	LSM-16879
BRD-K45251697	BRD-K45251697-001-05-8	LSM-43674	LSM-16898
BRD-K81034231	BRD-K81034231-001-05-6	LSM-43675	LSM-16903
BRD-K91501820	BRD-K91501820-001-05-9	LSM-43676	LSM-16913
BRD-K07787963	BRD-K07787963-001-05-4	LSM-43677	LSM-16922
BRD-K83821605	BRD-K83821605-001-05-2	LSM-43678	LSM-16939
BRD-K00381373	BRD-K00381373-001-05-7	LSM-43679	LSM-16941
BRD-K30309882	BRD-K30309882-001-04-9	LSM-43680	LSM-16945
BRD-K49998974	BRD-K49998974-001-05-4	LSM-43681	LSM-16952
BRD-K85314456	BRD-K85314456-001-04-9	LSM-43682	LSM-16966
BRD-K98065258	BRD-K98065258-001-05-9	LSM-43683	LSM-16970
BRD-K84767166	BRD-K84767166-001-05-7	LSM-43684	LSM-16976
BRD-K93953657	BRD-K93953657-001-05-8	LSM-43685	LSM-16984
BRD-A76457511	BRD-A76457511-001-06-7	LSM-43686	LSM-16993
BRD-K78469924	BRD-K78469924-001-08-5	LSM-43687	LSM-16994
BRD-K78469924	BRD-K78469924-001-07-7	LSM-43687	LSM-16994
BRD-K19829092	BRD-K19829092-001-05-4	LSM-43688	LSM-16994
BRD-K19829092	BRD-K19829092-001-06-2	LSM-43688	LSM-16994
BRD-K43604417	BRD-K43604417-001-05-9	LSM-43689	LSM-17004
BRD-K56224268	BRD-K56224268-001-06-8	LSM-43690	LSM-17010
BRD-K96254830	BRD-K96254830-001-05-8	LSM-43691	LSM-17041
BRD-K77548756	BRD-K77548756-001-05-6	LSM-43692	LSM-17042
BRD-K17675685	BRD-K17675685-001-05-6	LSM-43693	LSM-17053
BRD-K27608080	BRD-K27608080-001-05-6	LSM-43694	LSM-17058
BRD-K88030905	BRD-K88030905-001-06-0	LSM-43695	LSM-17059
BRD-K73875306	BRD-K73875306-001-04-5	LSM-43696	LSM-17064
BRD-K49455964	BRD-K49455964-001-05-7	LSM-43697	LSM-17065
BRD-K04190958	BRD-K04190958-001-05-1	LSM-43698	LSM-17077
