smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K06765193	BRD-K06765193-001-08-7	LSM-42853	LSM-2131	1
BRD-K07212038	BRD-K07212038-001-02-1	LSM-42857	LSM-2141	1
BRD-K07220430	BRD-K07220430-001-03-6	LSM-42858	LSM-2142	0
BRD-K07325606	BRD-K07325606-001-02-3	LSM-42859	LSM-2144	1
BRD-K07521754	BRD-K07521754-001-01-9	LSM-42860	LSM-2148	1
BRD-K07888196	BRD-K07888196-001-01-8	LSM-42862	LSM-2154	1
BRD-K07996107	BRD-K07996107-001-03-3	LSM-42863	LSM-2156	1
BRD-K87919739	BRD-K87919739-001-03-4	LSM-42864	LSM-2158	0
BRD-K08502430	BRD-K08502430-001-01-0	LSM-42866	LSM-2166	1
BRD-K08973992	BRD-K08973992-001-03-9	LSM-42867	LSM-2181	1
BRD-K09497549	BRD-K09497549-001-03-6	LSM-42869	LSM-2190	1
BRD-K09638361	BRD-K09638361-001-01-4	LSM-42870	LSM-2197	1
BRD-K09764130	BRD-K09764130-001-02-6	LSM-42871	LSM-2200	1
BRD-K10098805	BRD-K10098805-001-02-0	LSM-42872	LSM-2209	1
BRD-K10870738	BRD-K10870738-001-02-4	LSM-42873	LSM-2222	1
BRD-K43405658	BRD-K43405658-001-01-8	LSM-42874	LSM-2228	1
BRD-K11158509	BRD-K11158509-001-02-0	LSM-42875	LSM-2228	1
BRD-K92577649	BRD-K92577649-001-01-6	LSM-42876	LSM-2236	0
BRD-K11742128	BRD-K11742128-003-15-0	LSM-42877	LSM-2240	0
BRD-K29582677	BRD-K29582677-300-06-4	LSM-42878	LSM-2250	0
BRD-K12244279	BRD-K12244279-001-01-7	LSM-42879	LSM-2253	0
BRD-K47105409	BRD-K47105409-001-04-6	LSM-42880	LSM-2255	0
BRD-K12401458	BRD-K12401458-001-01-6	LSM-42881	LSM-2257	1
BRD-K12814321	BRD-K12814321-001-04-9	LSM-42882	LSM-2268	1
BRD-K13533483	BRD-K13533483-001-03-0	LSM-42883	LSM-2280	0
BRD-K14027855	BRD-K14027855-019-01-8	LSM-42884	LSM-2293	1
BRD-K70505054	BRD-K70505054-001-02-9	LSM-42886	LSM-2298	0
BRD-K14204120	BRD-K14204120-003-02-4	LSM-42885	LSM-2298	0
BRD-K14536225	BRD-K14536225-001-02-7	LSM-42887	LSM-2307	0
BRD-K14609189	BRD-K14609189-001-06-7	LSM-42888	LSM-2308	1
BRD-K15025317	BRD-K15025317-001-05-2	LSM-42889	LSM-2326	1
BRD-K40901640	BRD-K40901640-001-01-0	LSM-42890	LSM-2337	0
BRD-K15935639	BRD-K15935639-001-02-0	LSM-42891	LSM-2352	1
BRD-K16358524	BRD-K16358524-001-01-4	LSM-42892	LSM-2356	1
BRD-K16940042	BRD-K16940042-001-01-2	LSM-42893	LSM-2364	1
BRD-K17086338	BRD-K17086338-001-01-6	LSM-42894	LSM-2372	1
BRD-K17415526	BRD-K17415526-001-02-7	LSM-42895	LSM-2377	1
BRD-K17497770	BRD-K17497770-001-01-0	LSM-42896	LSM-2378	1
BRD-K17849083	BRD-K17849083-001-17-0	LSM-42898	LSM-2388	0
BRD-K17894950	BRD-K17894950-001-03-6	LSM-42899	LSM-2390	1
BRD-K18059238	BRD-K18059238-001-02-1	LSM-42900	LSM-2395	1
BRD-K18757346	BRD-K18757346-001-02-9	LSM-42901	LSM-2411	1
BRD-K53061490	BRD-K53061490-003-03-0	LSM-42902	LSM-2442	0
BRD-K19985802	BRD-K19985802-001-02-2	LSM-42903	LSM-2450	1
BRD-K20152659	BRD-K20152659-001-02-0	LSM-42904	LSM-2453	1
BRD-K96084870	BRD-K96084870-001-01-9	LSM-42905	LSM-2454	0
BRD-K20287671	BRD-K20287671-001-03-6	LSM-42906	LSM-2454	0
BRD-K20313525	BRD-K20313525-001-03-8	LSM-42907	LSM-2455	1
BRD-K21853356	BRD-K21853356-001-03-6	LSM-42910	LSM-2486	1
BRD-K23980805	BRD-K23980805-019-03-4	LSM-42913	LSM-2522	1
BRD-K23980805	BRD-K23980805-001-05-7	LSM-42913	LSM-2522	1
BRD-K24132293	BRD-K24132293-001-13-7	LSM-42914	LSM-2527	1
BRD-K25536815	BRD-K25536815-001-01-2	LSM-42916	LSM-2556	1
BRD-K91509126	BRD-K91509126-001-04-6	LSM-42918	LSM-2575	0
BRD-K91509126	BRD-K91509126-001-16-0	LSM-42918	LSM-2575	0
BRD-K26521938	BRD-K26521938-001-04-9	LSM-42919	LSM-2581	1
BRD-K26573499	BRD-K26573499-300-01-3	LSM-42920	LSM-2583	1
BRD-K26669427	BRD-K26669427-001-01-0	LSM-42921	LSM-2584	1
BRD-K26831771	BRD-K26831771-001-01-8	LSM-42922	LSM-2588	1
BRD-K27499107	BRD-K27499107-001-02-6	LSM-42923	LSM-2602	1
BRD-K27737647	BRD-K27737647-300-01-4	LSM-42924	LSM-2608	0
BRD-K28761384	BRD-K28761384-003-03-6	LSM-42927	LSM-2631	0
BRD-K29160485	BRD-K29160485-001-02-4	LSM-42928	LSM-2640	1
BRD-K29555132	BRD-K29555132-001-02-2	LSM-42929	LSM-2648	1
BRD-K30189597	BRD-K30189597-001-01-7	LSM-42930	LSM-2654	1
BRD-K30296925	BRD-K30296925-001-02-1	LSM-42931	LSM-2656	1
BRD-K31412180	BRD-K31412180-001-05-6	LSM-42932	LSM-2678	1
BRD-K31611373	BRD-K31611373-001-02-7	LSM-42934	LSM-2684	1
BRD-K32821942	BRD-K32821942-001-12-2	LSM-42936	LSM-2713	1
BRD-K32906660	BRD-K32906660-001-01-4	LSM-42937	LSM-2718	1
BRD-K33204703	BRD-K33204703-001-03-8	LSM-42938	LSM-2725	1
BRD-K33396764	BRD-K33396764-001-02-0	LSM-42939	LSM-2730	1
BRD-K92015269	BRD-K92015269-001-01-6	LSM-42940	LSM-2743	0
BRD-K34092021	BRD-K34092021-001-02-3	LSM-42941	LSM-2744	1
BRD-K34533029	BRD-K34533029-001-01-0	LSM-42942	LSM-2755	0
BRD-K34995470	BRD-K34995470-001-02-3	LSM-42944	LSM-2763	1
BRD-K35035132	BRD-K35035132-001-05-0	LSM-42945	LSM-2764	1
BRD-K35377380	BRD-K35377380-001-01-4	LSM-42946	LSM-2771	1
BRD-K54462405	BRD-K54462405-003-03-3	LSM-42947	LSM-2803	0
BRD-K37694030	BRD-K37694030-003-05-1	LSM-42948	LSM-2803	0
