SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-1793	16741282	85788652
LSM-1794	443423	85789025
LSM-1797	5022426	177748518
LSM-1799	1691	85788183
LSM-1801	2830510	85789088
LSM-1802	25067890	85788548
LSM-1803	6852378	177749383
LSM-1805	2734756	85787935
LSM-1808	2674	85844453
LSM-1810	9847023	177748789
LSM-1812	3682	85787569
LSM-1813	657380	85788092
LSM-1818	409805	85788688
LSM-1820	23947601	85844456
LSM-1822	4353886	85788641
LSM-1830	4677798	85788170
LSM-1831	415541	85788668
LSM-1832	2691	85787589
LSM-1835	2462	85787677
LSM-1836	6610302	85787727
LSM-1837	354624	85788714
LSM-1838	44208964	85788702
LSM-1839	4430	85788109
LSM-1842	10970751	177748794
LSM-1846	5053	85787156
LSM-1847	656731	85787607
LSM-1850	4428	85789000
LSM-1852	4060	85788588
LSM-1856	2733529	177748823
LSM-1857	6710621	85789287
LSM-1859	4203080	85789021
LSM-1864	44483269	85787966
LSM-1864	44483269	177749347
LSM-1864	44483269	85789258
LSM-1867	4402	85789044
LSM-1868	1257	85787588
LSM-1869	6713984	85787337
LSM-1870	129360	177748537
LSM-1874	53394010	177748543
LSM-1878	57946	85788211
LSM-1880	1302	85787482
LSM-1887	4330476	85789005
LSM-1888	4995951	85787624
LSM-1892	5311042	177748599
LSM-1894	104867	85788722
LSM-1895	3478439	85787586
LSM-1902	5271	85788965
LSM-1904	45006158	177748815
LSM-1907	5092098	177748530
LSM-1909	38945	85788915
LSM-1911	2750	85788733
LSM-1912	19385000	85789073
LSM-1919	3505	85787610
LSM-1923	9982218	85788687
LSM-1926	9687	85787760
LSM-1927	932	85788824
LSM-1928	3298213	85788619
LSM-1931	9909648	85787466
LSM-1938	65863	85788090
LSM-1940	105007	85788695
LSM-1941	219271	85789489
LSM-1944	23760135	85788405
LSM-1945	3563638	85788621
LSM-1946	6610303	85788265
LSM-1950	4411	85787325
LSM-1954	10770	85788076
LSM-1959	3655	85788885
LSM-1960	48229	85788204
LSM-1961	6710657	85789173
LSM-1964	4163	177748592
LSM-1965	60759	85788120
LSM-1966	441728	85788396
LSM-1968	15558439	85787361
LSM-1969	4262	85787126
LSM-1971	442897	85788891
LSM-1975	43345	85788650
LSM-1978	6095481	85789029
LSM-1980	46873819	177749119
LSM-1983	17756791	85788186
LSM-1987	3033677	85788162
LSM-1992	2777	85788214
LSM-1993	15209	85787964
LSM-1997	5601	177748482
LSM-1999	57363	85788501
LSM-2003	8433	85787425
LSM-2006	3146	85787687
LSM-2008	3055	85787519
LSM-2022	43708	85788073
LSM-2023	55668	85787635
LSM-2029	25035942	85787199
LSM-2030	16102146	85787622
LSM-2031	6713947	85787899
LSM-2038	442428	85788810
LSM-2040	9871875	85787213
LSM-2042	379077	85788166
LSM-2043	4011	85788854
LSM-2046	54676478	85788149
LSM-2047	10154	85788037
LSM-2051	6708716	85787416
LSM-2053	9705	85788669
LSM-2056	5103	85789037
LSM-2058	6610243	85788243
LSM-2061	5284557	85788056
LSM-2062	26487	85787700
LSM-2063	223368	85787335
LSM-2066	16219401	177748978
LSM-2066	16219401	177748551
LSM-2069	4633	85787520
LSM-2071	63062	85788533
LSM-2072	2800	85788573
LSM-2077	24906279	177748484
LSM-2081	132887	85788268
LSM-2083	125519	85787178
LSM-2084	49852180	177749158
LSM-2085	9806489	85788691
LSM-2087	9891901	85787671
LSM-2097	1126109	85788219
LSM-2102	5318562	85789226
LSM-2104	11957722	85788768
LSM-2106	3365	124360258
LSM-2108	3467177	85787599
LSM-2110	44483333	85789051
LSM-2112	3337816	85788646
LSM-2119	3177	85788656
LSM-2120	447966	85788723
LSM-2121	481747	85788716
LSM-2124	92766	85789359
LSM-2127	10410894	177748544
LSM-2128	1103147	85787625
LSM-2133	6917698	85788674
LSM-2135	5538	177748584
LSM-2138	838674	85788031
LSM-2141	6708808	85787403
LSM-2142	2761	177749189
LSM-2142	2761	85788038
LSM-2144	54722180	85787431
LSM-2146	9841972	177748588
LSM-2152	46948707	87556778
LSM-2154	2057	85787177
LSM-2156	87959	85788893
LSM-2158	2062	85788665
LSM-2163	9893924	85788704
LSM-2166	2812173	177748369
LSM-2168	1464	85788275
LSM-2169	3289	85789634
LSM-2170	9429	85787495
LSM-2171	5534	85788978
LSM-2172	3567002	85788647
LSM-2174	6710761	85788952
LSM-2176	33624	85787378
LSM-2180	44483319	85788717
LSM-2181	3931	85787692
LSM-2182	91769	85788631
LSM-2183	60785	85788217
LSM-2186	2788	85787383
LSM-2190	442527	85787496
LSM-2192	60663	85788182
LSM-2193	47936	85788134
LSM-2195	6610217	85787696
LSM-2196	761523	177748536
LSM-2197	3674	177748347
LSM-2198	2336	85787409
LSM-2201	132496	85788336
LSM-2202	4097	85787544
LSM-2205	441243	85788913
LSM-2209	73403	85787100
LSM-2211	16760682	177748476
LSM-2213	9882625	85788175
LSM-2217	9911463	85787652
LSM-2222	6610363	85787455
LSM-2226	50287	85788115
LSM-2228	6710706	85787112
LSM-2228	6710706	85787995
LSM-2229	1853	85787272
LSM-2232	4673492	85788642
LSM-2233	8249	85787916
LSM-2236	132475	85788767
LSM-2236	132475	85787551
LSM-2238	4520732	85788613
LSM-2240	5588	85788609
LSM-2243	107780	85787609
LSM-2244	9799509	85789096
LSM-2247	9820766	85788693
LSM-2248	173614	85788139
LSM-2250	3378	85788604
LSM-2253	24906275	85787122
LSM-2255	2390	85788096
LSM-2259	5722	85789009
LSM-2267	636403	85787318
LSM-2269	11749858	177748391
LSM-2270	6610300	85788734
LSM-2271	6604918	85789052
LSM-2275	44483284	85788206
LSM-2277	57242	85788352
LSM-2280	171409	85788570
LSM-2280	171409	177749222
LSM-2281	167715	85788374
LSM-2287	9829523	177748492
LSM-2297	6769	85787488
LSM-2298	5039	85787636
LSM-2298	5039	85788979
LSM-2299	13817	85787209
LSM-2302	121930	85788318
LSM-2306	2059	85787560
LSM-2307	6708703	85845678
LSM-2307	6708703	85787418
LSM-2309	9549298	85789102
LSM-2313	659840	85787371
LSM-2314	4306515	85788154
LSM-2316	443389	85787606
LSM-2318	104999	85788323
LSM-2323	39912	85787377
LSM-2325	2310	85787366
LSM-2328	10446295	85787659
LSM-2331	2736690	177748565
LSM-2332	50918583	177749109
LSM-2333	46916206	177749118
LSM-2337	5913	85787457
LSM-2337	5913	85788990
LSM-2339	10668211	85789046
LSM-2340	4077460	85788696
LSM-2341	2603	85788989
LSM-2343	49381	85787799
LSM-2345	132846	85788640
LSM-2346	22752	177748787
LSM-2352	644199	85787301
LSM-2354	6326643	177748475
LSM-2357	3671	85787627
