SM_LINCS_ID	SM_CENTER_COMPOUND_ID	IDsort
LSM-1145	HMSL10144	1145
LSM-1145	BRD-K02113016	1145
LSM-1146	HMSL10145	1146
LSM-1146	BRD-K87142802	1146
LSM-1147	HMSL10146	1147
LSM-1148	HMSL10147	1148
LSM-1149	HMSL10148	1149
LSM-1150	HMSL10149	1150
LSM-1151	HMSL10150	1151
LSM-1151	BRD-K44227013	1151
LSM-1152	HMSL10151	1152
LSM-1152	BRD-K49075727	1152
LSM-1153	BRD-K54256913	1153
LSM-1153	HMSL10152	1153
LSM-1154	HMSL10153	1154
LSM-1155	HMSL10154	1155
LSM-1156	HMSL10155	1156
LSM-1157	HMSL10156	1157
LSM-1157	BRD-K02123250	1157
LSM-1158	HMSL10157	1158
LSM-1158	BRD-K03449891	1158
LSM-1159	HMSL10158	1159
LSM-1160	BRD-K08799216	1160
LSM-1160	HMSL10159	1160
LSM-1161	BRD-K59184148	1161
LSM-1161	HMSL10160	1161
LSM-1162	HMSL10161	1162
LSM-1162	BRD-K41859756	1162
LSM-1163	BRD-K01567962	1163
LSM-1163	HMSL10162	1163
LSM-1164	HMSL10163	1164
LSM-1165	HMSL10164	1165
LSM-1166	BRD-K73319509	1166
LSM-1166	HMSL10165	1166
LSM-1167	HMSL10166	1167
LSM-1168	HMSL10167	1168
LSM-1168	BRD-A37704979	1168
LSM-1169	BRD-K91900765	1169
LSM-1169	HMSL10168	1169
LSM-1170	BRD-K74065929	1170
LSM-1170	HMSL10169	1170
LSM-1171	HMSL10170	1171
LSM-1172	BRD-A41692738	1172
LSM-1172	HMSL10171	1172
LSM-1173	HMSL10172	1173
LSM-1173	BRD-K06750613	1173
LSM-1174	HMSL10173	1174
LSM-1175	HMSL10174	1175
LSM-1176	HMSL10175	1176
LSM-1176	BRD-M64432851	1176
LSM-1177	BRD-A58280226	1177
LSM-1177	HMSL10176	1177
LSM-1178	BRD-A21584801	1178
LSM-1178	HMSL10177	1178
LSM-1179	HMSL10178	1179
LSM-1180	BRD-K56301217	1180
LSM-1180	HMSL10179	1180
LSM-1181	HMSL10180	1181
LSM-1182	HMSL10181	1182
LSM-1182	BRD-K67578145	1182
LSM-1183	HMSL10182	1183
LSM-1183	BRD-K99749624	1183
LSM-1184	HMSL10183	1184
LSM-1185	HMSL10184	1185
LSM-1186	HMSL10185	1186
LSM-1187	BRD-K87904882	1187
LSM-1187	HMSL10186	1187
LSM-1188	HMSL10187	1188
LSM-1189	HMSL10188	1189
LSM-1189	BRD-K47983010	1189
LSM-1190	HMSL10189	1190
LSM-1190	BRD-K99964838	1190
LSM-1191	HMSL10190	1191
LSM-1192	HMSL10191	1192
LSM-1192	BRD-K70511574	1192
LSM-1193	HMSL10192	1193
LSM-1194	HMSL10193	1194
LSM-1195	HMSL10194	1195
LSM-1196	HMSL10195	1196
LSM-1197	HMSL10196	1197
LSM-1198	HMSL10197	1198
LSM-1199	HMSL10198	1199
LSM-1200	HMSL10199	1200
LSM-1201	HMSL10200	1201
LSM-1202	HMSL10201	1202
LSM-1203	HMSL10202	1203
LSM-1203	BRD-K09132007	1203
LSM-1204	HMSL10203	1204
LSM-1205	HMSL10204	1205
LSM-1206	HMSL10205	1206
LSM-1207	HMSL10206	1207
LSM-1208	HMSL10207	1208
LSM-1209	HMSL10208	1209
LSM-1210	HMSL10209	1210
LSM-1210	BRD-K34581968	1210
LSM-1211	HMSL10210	1211
LSM-1212	HMSL10211	1212
LSM-1213	HMSL10212	1213
LSM-1214	HMSL10213	1214
LSM-1215	HMSL10214	1215
LSM-1216	HMSL10215	1216
LSM-1216	BRD-K51781482	1216
LSM-1217	BRD-K93480852	1217
LSM-1217	HMSL10216	1217
LSM-1218	HMSL10217	1218
LSM-1219	HMSL10218	1219
LSM-1219	BRD-K97354755	1219
LSM-1220	BRD-K91701654	1220
LSM-1220	HMSL10219	1220
LSM-1220	BRD-K46419649	1220
LSM-1220	BRD-K18787491	1220
LSM-1221	HMSL10220	1221
LSM-1222	HMSL10221	1222
LSM-1222	BRD-K70642949	1222
LSM-1223	HMSL10222	1223
LSM-1224	CGC00003433	1224
LSM-1224	HMSL10223	1224
LSM-1224	BRD-K68336408	1224
LSM-1225	HMSL10224	1225
LSM-1226	HMSL10225	1226
