SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_LINCS_ID	SM_LINCS_ID_Previous	Expunge
BRD-M22422412	BRD-M22422412-001-01-3	LSM-45013	LSM-43524	1
BRD-M22555785	BRD-M22555785-001-01-9	LSM-45014	LSM-43525	1
BRD-M23605671	BRD-M23605671-001-01-8	LSM-45015	LSM-43526	1
BRD-M23876883	BRD-M23876883-001-01-9	LSM-45016	LSM-43527	1
BRD-M24732042	BRD-M24732042-001-01-1	LSM-45017	LSM-43528	1
BRD-M28080892	BRD-M28080892-001-01-2	LSM-45018	LSM-43529	1
BRD-M29192968	BRD-M29192968-001-01-3	LSM-45019	LSM-43530	1
BRD-M30664582	BRD-M30664582-001-01-4	LSM-45020	LSM-43531	1
BRD-M30758753	BRD-M30758753-001-01-7	LSM-45021	LSM-43532	1
BRD-M31016039	BRD-M31016039-001-01-5	LSM-45022	LSM-43533	1
BRD-M31111440	BRD-M31111440-001-01-7	LSM-45023	LSM-43534	1
BRD-M31871110	BRD-M31871110-001-01-5	LSM-45024	LSM-43535	1
BRD-M32495507	BRD-M32495507-001-01-3	LSM-45025	LSM-43536	1
BRD-M32778103	BRD-M32778103-001-01-0	LSM-45026	LSM-43537	1
BRD-M33077182	BRD-M33077182-001-01-0	LSM-45027	LSM-43538	1
BRD-M36167927	BRD-M36167927-001-01-6	LSM-45028	LSM-43539	1
BRD-M39727370	BRD-M39727370-001-01-6	LSM-45029	LSM-43540	1
BRD-M39787390	BRD-M39787390-001-01-6	LSM-45030	LSM-43541	1
BRD-M40384033	BRD-M40384033-001-01-2	LSM-45031	LSM-43542	1
BRD-M40773246	BRD-M40773246-001-01-9	LSM-45032	LSM-43543	1
BRD-M41154708	BRD-M41154708-001-01-2	LSM-45033	LSM-43544	1
BRD-M41610223	BRD-M41610223-001-01-9	LSM-45034	LSM-43545	1
BRD-M44900776	BRD-M44900776-001-01-2	LSM-45035	LSM-43546	1
BRD-M45350951	BRD-M45350951-001-01-6	LSM-45036	LSM-43547	1
BRD-M45544666	BRD-M45544666-001-01-0	LSM-45037	LSM-43548	1
BRD-M45755366	BRD-M45755366-001-01-5	LSM-45038	LSM-43549	1
BRD-M49151292	BRD-M49151292-001-01-2	LSM-45039	LSM-43550	1
BRD-M51208417	BRD-M51208417-001-01-5	LSM-45040	LSM-43551	1
BRD-M51239075	BRD-M51239075-001-01-3	LSM-45041	LSM-43552	1
BRD-M52804417	BRD-M52804417-001-01-0	LSM-45042	LSM-43553	1
BRD-M53302603	BRD-M53302603-001-01-8	LSM-45043	LSM-43554	1
BRD-M53346459	BRD-M53346459-001-01-0	LSM-45044	LSM-43555	1
BRD-M54407015	BRD-M54407015-001-01-6	LSM-45045	LSM-43556	1
BRD-M54814689	BRD-M54814689-001-01-8	LSM-45046	LSM-43557	1
BRD-M55020616	BRD-M55020616-001-01-9	LSM-45047	LSM-43558	1
BRD-M56188090	BRD-M56188090-001-01-8	LSM-45048	LSM-43559	1
BRD-M58317392	BRD-M58317392-001-01-6	LSM-45049	LSM-43560	1
BRD-M58692868	BRD-M58692868-001-01-7	LSM-45050	LSM-43561	1
BRD-M59406954	BRD-M59406954-001-01-6	LSM-45051	LSM-43562	1
BRD-M60886831	BRD-M60886831-001-01-5	LSM-45052	LSM-43563	1
BRD-M63389385	BRD-M63389385-001-01-7	LSM-45053	LSM-43564	1
BRD-M64817521	BRD-M64817521-001-01-1	LSM-45054	LSM-43565	1
BRD-M65187017	BRD-M65187017-001-01-9	LSM-45055	LSM-43566	1
BRD-M66254575	BRD-M66254575-001-01-0	LSM-45056	LSM-43567	1
BRD-M66672790	BRD-M66672790-001-01-2	LSM-45057	LSM-43568	1
BRD-M69191681	BRD-M69191681-001-01-2	LSM-45058	LSM-43569	1
BRD-M69929484	BRD-M69929484-001-01-4	LSM-45059	LSM-43570	1
BRD-M70861773	BRD-M70861773-001-01-6	LSM-45060	LSM-43571	1
BRD-M72906282	BRD-M72906282-001-01-1	LSM-45061	LSM-43572	1
BRD-M73564418	BRD-M73564418-001-01-4	LSM-45062	LSM-43573	1
BRD-M76499661	BRD-M76499661-001-01-4	LSM-45063	LSM-43574	1
BRD-M76969896	BRD-M76969896-001-01-3	LSM-45064	LSM-43575	1
BRD-M77258496	BRD-M77258496-001-01-4	LSM-45065	LSM-43576	1
BRD-M77293869	BRD-M77293869-001-01-0	LSM-45066	LSM-43577	1
BRD-M77861050	BRD-M77861050-001-01-3	LSM-45067	LSM-43578	1
BRD-M78319284	BRD-M78319284-001-01-9	LSM-45068	LSM-43579	1
BRD-M79326715	BRD-M79326715-001-01-2	LSM-45069	LSM-43580	1
BRD-M80240720	BRD-M80240720-001-01-5	LSM-45070	LSM-43581	1
BRD-M82627054	BRD-M82627054-001-01-7	LSM-45071	LSM-43582	1
BRD-M85886474	BRD-M85886474-001-01-8	LSM-45072	LSM-43583	1
BRD-M85914958	BRD-M85914958-001-01-3	LSM-45073	LSM-43584	1
BRD-M87776818	BRD-M87776818-001-01-4	LSM-45074	LSM-43585	1
BRD-M88044810	BRD-M88044810-001-01-4	LSM-45075	LSM-43586	1
BRD-M88256629	BRD-M88256629-001-01-5	LSM-45076	LSM-43587	1
BRD-M88324697	BRD-M88324697-001-01-8	LSM-45077	LSM-43588	1
BRD-M88429329	BRD-M88429329-001-01-1	LSM-45078	LSM-43589	1
BRD-M90541854	BRD-M90541854-001-01-2	LSM-45079	LSM-43590	1
BRD-M91342002	BRD-M91342002-001-01-5	LSM-45080	LSM-43591	1
BRD-M91803535	BRD-M91803535-001-01-2	LSM-45081	LSM-43592	1
BRD-M91876180	BRD-M91876180-001-01-6	LSM-45082	LSM-43593	1
BRD-M92802283	BRD-M92802283-001-01-7	LSM-45083	LSM-43594	1
BRD-M94053246	BRD-M94053246-001-01-1	LSM-45084	LSM-43595	1
BRD-M94242351	BRD-M94242351-001-01-1	LSM-45085	LSM-43596	1
BRD-M94512770	BRD-M94512770-001-01-0	LSM-45086	LSM-43597	1
BRD-M95331451	BRD-M95331451-001-01-0	LSM-45087	LSM-43598	1
BRD-M95429326	BRD-M95429326-001-01-5	LSM-45088	LSM-43599	1
BRD-M95763088	BRD-M95763088-001-01-5	LSM-45089	LSM-43600	1
BRD-M97057852	BRD-M97057852-001-01-4	LSM-45090	LSM-43601	1
BRD-M97109212	BRD-M97109212-001-01-8	LSM-45091	LSM-43602	1
BRD-M97925630	BRD-M97925630-001-01-1	LSM-45092	LSM-43603	1
BRD-M98484762	BRD-M98484762-001-01-8	LSM-45093	LSM-43604	1
BRD-A76746748	BRD-A76746748-236-02-9	LSM-45094	LSM-43614	1
BRD-K38684403	BRD-K38684403-001-02-1	LSM-45095	LSM-43900	1
BRD-K32595626	BRD-K32595626-001-01-8	LSM-45096	LSM-43905	1
BRD-A64957606	BRD-A64957606-001-02-5	LSM-45097	LSM-43966	1
BRD-K87817668	BRD-K87817668-001-02-7	LSM-45098	LSM-44085	1
BRD-K41220170	BRD-K41220170-236-01-4	LSM-45099	LSM-44528	1
BRD-K62768020	BRD-K62768020-236-01-8	LSM-45100	LSM-44529	1
BRD-K05562558	BRD-K05562558-001-01-3	LSM-45101	LSM-44570	1
BRD-K10010115	BRD-K10010115-001-01-2	LSM-45102	LSM-44571	1
BRD-K25731886	BRD-K25731886-001-01-3	LSM-45103	LSM-44573	1
BRD-K35568648	BRD-K35568648-001-01-6	LSM-45104	LSM-44574	1
BRD-K41668190	BRD-K41668190-001-01-8	LSM-45105	LSM-44575	1
BRD-K55715339	BRD-K55715339-001-01-2	LSM-45106	LSM-44577	1
BRD-K61192129	BRD-K61192129-001-01-0	LSM-45107	LSM-44580	1
BRD-K69501658	BRD-K69501658-001-01-3	LSM-45108	LSM-44582	1
BRD-K72505034	BRD-K72505034-001-01-4	LSM-45109	LSM-44583	1
BRD-K75081836	BRD-K75081836-001-01-3	LSM-45110	LSM-44584	1
BRD-K83998179	BRD-K83998179-001-01-3	LSM-45111	LSM-44587	1
BRD-K84803513	BRD-K84803513-001-01-9	LSM-45112	LSM-44588	1
BRD-K86110682	BRD-K86110682-001-01-2	LSM-45113	LSM-44589	1
BRD-K86269644	BRD-K86269644-001-01-3	LSM-45114	LSM-44590	1
BRD-K87730440	BRD-K87730440-001-01-9	LSM-45115	LSM-44592	1
BRD-K88710727	BRD-K88710727-001-01-4	LSM-45116	LSM-44593	1
BRD-K90430314	BRD-K90430314-001-01-4	LSM-45117	LSM-44595	1
BRD-K95080859	BRD-K95080859-001-01-3	LSM-45118	LSM-44596	1
BRD-K98634983	BRD-K98634983-001-01-3	LSM-45119	LSM-44597	1
BRD-K95986273	BRD-K95986273-001-01-9	LSM-45120	LSM-44617	1
BRD-K08372451	BRD-K08372451-001-03-8	LSM-45121	LSM-44634	1
BRD-K31041191	BRD-K31041191-001-03-5	LSM-45122	LSM-44639	1
BRD-K35010406	BRD-K35010406-001-03-7	LSM-45123	LSM-44641	1
BRD-K41179159	BRD-K41179159-001-02-3	LSM-45124	LSM-44642	1
BRD-K41887956	BRD-K41887956-001-01-8	LSM-45125	LSM-44643	1
BRD-K46918889	BRD-K46918889-001-02-6	LSM-45126	LSM-44645	1
BRD-K48006774	BRD-K48006774-001-03-4	LSM-45127	LSM-44646	1
BRD-K51966546	BRD-K51966546-001-02-2	LSM-45128	LSM-44648	1
BRD-K65031973	BRD-K65031973-001-02-1	LSM-45129	LSM-44653	1
BRD-K85732814	BRD-K85732814-001-02-3	LSM-45130	LSM-44658	1
BRD-K87634564	BRD-K87634564-001-03-9	LSM-45131	LSM-44659	1
BRD-K97869369	BRD-K97869369-001-02-8	LSM-45132	LSM-44660	1
BRD-M15189060	BRD-M15189060-001-01-2	LSM-45133	LSM-44662	1
BRD-M16214895	BRD-M16214895-001-01-8	LSM-45134	LSM-44663	1
BRD-M25555076	BRD-M25555076-001-01-4	LSM-45135	LSM-44664	1
BRD-M68558198	BRD-M68558198-001-01-9	LSM-45136	LSM-44665	1
BRD-M91737268	BRD-M91737268-001-01-5	LSM-45137	LSM-44666	1
BRD-M06931697	BRD-M06931697-001-01-9	LSM-45138	LSM-44929	1
BRD-U88459701	BRD-U88459701-000-01-8	LSM-45147	LSM-43114	0
