CL_LINCS_ID	CL_Name	CL_Alternate_Name	CL_Provider_Catalog_ID
LCL-1420	G-292 Clone A141B1	G-292 Clone A141B1	90110522
LCL-1421	HOS	HOS	87070202
LCL-1422	HuO-3N1	HuO-3N1	JCRB0413
LCL-1423	HuO9	HuO9	JCRB0427
LCL-1424	HuO9N2	HuO9N2	JCRB0428
LCL-1425	KHOS/NP	KHOS/NP	84102903
LCL-1426	KHOS-240S	KHOS-240S	86112810
LCL-1427	KHOS-312H	KHOS-312H	86112811
LCL-1428	MG-63	MG-63	86051601
LCL-1429	NY	NY	JCRB0614
LCL-1430	Saos-2	Saos-2	HTB-85
LCL-1431	U-2 OS	U-2 OS	HTB-96
LCL-1432	NOS-1	NOS-1	COSMIC ID:925345
LCL-1433	SJSA-1	SJSA-1	COSMIC ID:909717
LCL-1434	SK-ES-1	SK-ES-1	HTB-86
LCL-1435	HT 1080	HT 1080	85111505
LCL-1436	Hs 633T	Hs 633T	89050201
LCL-1437	FLYA13	FLYA13	95091901
LCL-1438	TC-71	TC-71	ACC 516
LCL-1439	ES1	ES1	COSMIC ID:949158
LCL-1440	ES3	ES3	COSMIC ID:684055
LCL-1441	ES4	ES4	COSMIC ID:949156
LCL-1442	ES5	ES5	COSMIC ID:684057
LCL-1443	ES6	ES6	COSMIC ID:949157
LCL-1444	ES7	ES7	COSMIC ID:684059
LCL-1445	ES8	ES8	COSMIC ID:949155
LCL-1446	EW-1	EW-1	COSMIC ID:949163
LCL-1447	EW-11	EW-11	COSMIC ID:684062
LCL-1448	EW-13	EW-13	COSMIC ID:949166
LCL-1449	EW-16	EW-16	COSMIC ID:949165
LCL-1450	EW-18	EW-18	COSMIC ID:949164
LCL-1451	EW-24	EW-24	COSMIC ID:949168
LCL-1452	EW-3	EW-3	COSMIC ID:949161
LCL-1453	EW-7	EW-7	COSMIC ID:949160
LCL-1454	MHH-ES-1	MHH-ES-1	ACC 167
LCL-1455	RD-ES	RD-ES	HTB-166
LCL-1456	RH-1	RH-1	ACC 493
LCL-1457	CAL-78	CAL-78	ACC 449
LCL-1458	H-EMC-SS	H-EMC-SS	94042258
LCL-1459	SW872	SW872	COSMIC ID:909756
LCL-1460	MCF7	MCF7	HTB-22
LCL-1461	MDA-MB-231	MDA-MB-231	HTB-26
LCL-1462	AU565	AU565	CRL-2351
LCL-1463	CAL-120	CAL-120	ACC 459
LCL-1464	CAL-148	CAL-148	ACC 460
LCL-1465	CAL-85-1	CAL-85-1	ACC 440
LCL-1466	CAMA-1	CAMA-1	HTB-21
LCL-1467	HCC1428	HCC1428	CRL-2327
LCL-1468	MDA-MB-361	MDA-MB-361	HTB-27
LCL-1469	MDA-MB-415	MDA-MB-415	HTB-128
LCL-1470	MDA-MB-436	MDA-MB-436	HTB-130
LCL-1471	MDA-MB-468	MDA-MB-468	HTB-132
LCL-1472	CAL-51	CAL-51	ACC 302
LCL-1473	MT-3	MT-3	ACC 403
LCL-1474	SW527	SW527	CRL-7940
LCL-1475	SK-BR-3	SK-BR-3	HTB-30
LCL-1476	BT-20	BT-20	HTB-19
LCL-1477	COLO-824	COLO-824	ACC 200
LCL-1478	EFM-192A	EFM-192A	ACC 258
LCL-1479	EFM-192C	EFM-192C	ACC 311
LCL-1480	HCC1569	HCC1569	CRL-2330
LCL-1481	HDQ-P1	HDQ-P1	ACC 494
LCL-1482	JIMT-1	JIMT-1	ACC 589
LCL-1483	KPL-1	KPL-1	ACC 317
LCL-1484	MB 157	MB 157	CRL-7721
LCL-1485	MDA-MB-453	MDA-MB-453	HTB-131
LCL-1486	T47D	T47D	85102201
LCL-1487	MRK-nu-1	MRK-nu-1	JCRB0628
LCL-1488	YMB-1	YMB-1	JCRB0823
LCL-1489	OCUB-M	OCUB-M	COSMIC ID:909256
LCL-1490	SW684	SW684	COSMIC ID:909754
LCL-1491	JAR	JAR	HTB-144
LCL-1492	JEG-3	JEG-3	COSMIC ID:907176
LCL-1493	MCAS	MCAS	JCRB0240
LCL-1494	EFE-184	EFE-184	ACC 230
LCL-1495	EN	EN	ACC 564
LCL-1496	HEC-1	HEC-1	JCRB0042
LCL-1497	Ishikawa	Ishikawa	99040201
LCL-1498	Ishikawa (Heraklio) 02 ER-	Ishikawa (Heraklio) 02 ER-	98032302
LCL-1499	AN3CA	AN3CA	HTB-111
LCL-1500	MFE-280	MFE-280	ACC 410
LCL-1501	MFE-296	MFE-296	ACC 419
LCL-1502	MFE-319	MFE-319	ACC 423
LCL-1503	SNG-M	SNG-M	JCRB0179
LCL-1504	COLO 684	COLO 684	87061203
LCL-1505	KLE	KLE	COSMIC ID:924187
LCL-1506	RL95-2	RL95-2	COSMIC ID:930082; ATCC CRL-1671
LCL-1507	ESS-1	ESS-1	ACC 461
LCL-1508	SK-UT-1	SK-UT-1	COSMIC ID:909732
LCL-1509	MES-SA	MES-SA	95051030
LCL-1510	MES-SA/Dx-5	MES-SA/Dx-5	95051031
LCL-1511	G-401	G-401	CRL-1441
LCL-1512	HeLa	HeLa	CCL-2
LCL-1513	Hs 588.T	Hs 588.T	CRL-7850
